date,新北市,台北市,桃園市,苗栗縣,基隆市,彰化縣,台中市,宜蘭縣,新竹縣,花蓮縣,高雄市,台南市,新竹市,屏東縣,南投縣,台東縣,雲林縣,嘉義縣,嘉義市,澎湖縣,連江縣,金門縣
2022-06-17,6671,3726,4305,1344,663,4316,8323,959,1262,730,8248,5465,976,2659,1316,571,1421,1054,751,256,35,136
2022-06-18,6398,3463,4611,1320,663,4247,7983,963,1243,809,7579,5322,888,2512,1220,609,1535,1094,752,245,25,162
2022-06-19,6133,3265,4093,1124,663,3750,7820,969,1203,637,7391,5085,1008,2248,1254,504,1311,1048,664,252,16,123
2022-06-20,4267,2296,3097,959,437,2960,5312,590,941,554,5280,3123,674,1519,886,306,1040,683,426,158,17,71
2022-06-21,6878,3550,3853,1438,589,4625,8341,918,1051,789,8048,5527,945,2951,1462,712,1821,1417,943,298,27,156
2022-06-22,6444,3516,4680,1226,699,3873,7909,980,1283,739,6992,4841,1127,2403,1208,514,1617,980,782,243,39,118
2022-06-23,6296,3322,4105,1167,587,3618,7001,859,1158,665,6722,4444,932,2263,1149,445,1332,1060,748,246,8,156
2022-06-24,5808,3189,4020,1033,558,3318,6667,783,999,669,6413,4347,866,2136,1134,461,1406,885,590,209,36,151
2022-06-25,5808,3189,4020,1033,558,3318,6667,783,999,669,6413,4347,866,2136,1134,461,1406,885,590,209,36,151
2022-06-26,5320,2734,3791,906,484,2761,5520,786,1008,587,5309,3786,837,1655,902,396,1111,757,548,201,21,166
2022-06-27,3679,2025,2774,798,372,2026,4008,485,749,453,3888,2503,603,1174,590,276,879,602,349,163,17,76
2022-06-28,5653,3116,3521,1151,491,3452,6397,870,1069,678,5816,4145,760,2053,999,553,1432,1073,647,241,22,240
2022-06-29,5747,3314,4040,1028,540,2794,6117,812,981,701,5139,3910,895,1770,870,521,1154,847,587,198,23,124
2022-06-30,5339,3082,3723,942,493,2631,5639,718,872,666,4924,3363,808,1571,881,467,1114,809,483,178,14,129
2022-07-01,5070,2823,3399,865,426,2420,5155,642,896,593,4453,3104,718,1420,732,448,986,709,492,200,30,118
2022-07-02,5070,2823,3399,865,426,2420,5155,642,896,593,4453,3104,718,1420,732,448,986,709,492,200,30,118
2022-07-03,4666,2722,3212,789,463,2004,4448,763,859,477,3886,2894,764,1264,680,347,867,674,411,193,28,156
2022-07-04,4666,2722,3212,789,463,2004,4448,763,859,477,3886,2894,764,1264,680,347,867,674,411,193,28,156
2022-07-05,4930,3122,3117,976,392,2353,4970,812,859,614,4198,3164,636,1537,790,504,1089,818,567,209,43,214
2022-07-06,5324,3110,3687,882,449,1880,4669,796,878,607,3608,2902,755,1362,688,492,900,671,424,219,34,162
2022-07-07,5121,2948,3141,798,453,1823,4081,700,748,591,3442,2507,576,1224,624,387,813,650,337,201,18,181
2022-07-08,4640,2838,3236,838,436,1688,3851,691,742,562,3291,2419,642,1191,664,376,881,590,343,194,21,180
2022-07-09,4122,2612,2822,722,391,1565,3576,701,713,542,3119,2266,531,1165,549,409,817,637,337,210,28,194
2022-07-10,4372,2785,2947,732,388,1462,3474,726,710,486,2935,2264,640,1064,562,346,660,502,308,160,23,162
2022-07-11,3069,1743,2067,458,227,1088,2595,451,533,353,2026,1409,391,650,386,205,574,373,197,118,21,117
2022-07-12,4823,2808,2858,902,390,1655,4030,760,728,554,3555,2592,502,1168,617,506,1033,797,425,182,44,223
2022-07-13,4997,2982,3219,785,427,1497,3941,657,734,487,3115,2244,671,1075,560,420,779,573,324,145,35,182
2022-07-14,4718,2664,2813,665,456,1410,3639,650,805,441,2943,2051,615,933,504,347,729,552,321,149,22,170
2022-07-15,4224,2532,2711,692,351,1305,3293,566,674,409,2629,1842,535,861,435,327,742,473,266,168,23,165
2022-07-16,4350,2358,2661,711,400,1249,3217,627,658,425,2662,1906,499,893,453,300,708,508,317,157,24,168
2022-07-17,4112,2401,2607,654,385,1193,3065,648,634,415,2538,1779,604,771,425,295,627,393,235,142,29,244
2022-07-18,2975,1613,1903,481,235,883,2236,409,543,304,1883,1327,400,518,344,214,467,345,231,105,24,109
2022-07-19,4382,2848,2487,670,397,1336,3408,705,710,541,2922,1882,543,969,509,346,788,565,333,149,24,265
2022-07-20,4614,2751,3004,761,411,1236,3415,665,756,536,2703,1979,643,833,428,352,681,519,295,141,35,185
2022-07-21,4365,2677,2520,644,381,1151,3115,543,693,407,2517,2024,594,759,452,326,643,529,245,168,21,133
2022-07-22,4140,2352,2562,648,335,1089,2846,601,644,499,2513,1877,569,765,434,304,586,448,283,131,28,159
